9683,4011,5.0,1301443200,0
9683,2645,4.0,1322611200,0
9683,2459,5.0,1345507200,0
9683,626,5.0,1358726400,1
9683,1860,5.0,1269302400,2
4197,6967,4.0,1397606400,0
4197,6874,5.0,1395273600,0
4197,6968,5.0,1403049600,0
4197,5848,3.0,1371168000,0
4197,6947,4.0,1397606400,0
4197,6940,5.0,1405814400,0
4197,6765,3.0,1385510400,0
4197,458,5.0,1324598400,0
4197,6728,5.0,1383177600,0
4197,6787,5.0,1392768000,0
4197,7014,5.0,1403049600,0
4197,6268,4.0,1358985600,0
4197,6771,5.0,1405728000,0
4197,6998,5.0,1403049600,0
4197,6528,5.0,1403049600,0
4197,6966,2.0,1405728000,0
4197,6511,4.0,1375747200,0
4197,457,5.0,1340841600,0
4197,188,5.0,1188604800,0
4197,6915,5.0,1404604800,0
4197,7022,4.0,1400025600,0
4197,6116,5.0,1392768000,0
4197,6811,5.0,1392768000,0
4197,6575,5.0,1392768000,0
4197,6959,5.0,1397606400,0
4197,7028,5.0,1404604800,0
4197,6942,5.0,1405814400,0
4197,6634,5.0,1384905600,0
4197,815,5.0,1213401600,0
4197,6489,5.0,1378080000,0
4197,5875,3.0,1389830400,0
4197,5416,5.0,1340841600,0
4197,6964,5.0,1397606400,1
4197,6527,3.0,1403049600,1
4197,6888,5.0,1397606400,1
4197,6386,5.0,1380326400,2
4197,6892,5.0,1389830400,2
4197,6409,5.0,1378080000,2
4197,6225,5.0,1383177600,2
6507,3829,4.0,1382918400,0
6507,4850,5.0,1382918400,0
6507,4595,5.0,1383868800,0
6507,4597,5.0,1382918400,0
6507,436,5.0,1382918400,0
6507,5173,4.0,1383868800,1
6507,373,4.0,1382918400,2
7658,4181,5.0,1345593600,0
7658,3352,5.0,1345593600,0
7658,4916,4.0,1345593600,0
7658,2322,5.0,1345593600,0
7658,5832,4.0,1345593600,0
7658,3447,5.0,1345593600,0
7658,465,5.0,1345593600,0
7658,836,5.0,1345593600,1
7658,3556,5.0,1345593600,2
4604,4660,3.0,1397520000,0
4604,221,5.0,1397433600,0
4604,6125,5.0,1397433600,0
4604,6489,4.0,1397520000,0
4604,6902,5.0,1397520000,0
4604,1899,5.0,1363305600,0
4604,3347,5.0,1401235200,0
4604,492,5.0,1397520000,0
4604,5247,3.0,1397520000,1
4604,5536,5.0,1387238400,2
12927,4213,4.0,1365724800,0
12927,6107,5.0,1396051200,0
12927,4781,5.0,1387843200,0
12927,2516,5.0,1365724800,0
12927,3675,5.0,1388361600,0
12927,3676,5.0,1334016000,1
12927,933,5.0,1387843200,2
7592,4761,4.0,1337385600,0
7592,464,5.0,1332720000,0
7592,3808,5.0,1339632000,0
7592,1700,4.0,1337385600,0
7592,3400,4.0,1339632000,0
7592,2129,3.0,1361232000,0
7592,2250,5.0,1337385600,0
7592,6023,2.0,1361232000,0
7592,4399,3.0,1336089600,0
7592,4323,3.0,1361232000,0
7592,3782,5.0,1336089600,0
7592,1070,1.0,1362268800,0
7592,3409,5.0,1332288000,0
7592,4245,3.0,1361232000,0
7592,3781,4.0,1332288000,0
7592,3893,3.0,1337385600,0
7592,2791,2.0,1337385600,0
7592,6028,2.0,1348790400,0
7592,1493,5.0,1337385600,0
7592,2908,4.0,1361232000,1
7592,2043,5.0,1332288000,1
7592,3193,5.0,1336089600,2
7592,2838,1.0,1361232000,2
6361,1037,4.0,1333497600,0
6361,1030,5.0,1356566400,0
6361,2916,4.0,1367712000,0
6361,3276,5.0,1367712000,0
6361,1686,4.0,1356566400,0
6361,5704,4.0,1367712000,0
6361,5705,4.0,1367712000,0
6361,363,2.0,1326499200,0
6361,2668,3.0,1326499200,1
6361,5110,4.0,1349222400,2
17108,3408,5.0,1370476800,0
17108,5848,5.0,1370476800,0
17108,3409,5.0,1387843200,0
17108,5849,5.0,1370476800,0
17108,4459,5.0,1370476800,1
17108,1814,5.0,1370476800,2
15805,4579,2.0,1399420800,0
15805,5067,5.0,1399420800,0
15805,3183,5.0,1399420800,0
15805,2340,4.0,1399420800,1
15805,1391,5.0,1399420800,2
8504,1814,5.0,1300924800,0
8504,2838,4.0,1300924800,0
8504,3445,4.0,1300924800,0
8504,2959,5.0,1300924800,0
8504,2791,2.0,1300924800,1
8504,530,3.0,1300924800,2
5698,303,5.0,1323302400,0
5698,2338,3.0,1341273600,0
5698,3351,2.0,1344384000,0
5698,4564,5.0,1344384000,1
5698,3141,4.0,1329436800,2
13890,1037,4.0,1335484800,0
13890,1497,5.0,1360886400,0
13890,1031,5.0,1360886400,0
13890,6271,5.0,1370304000,0
13890,4445,4.0,1361404800,0
13890,1671,5.0,1361404800,0
13890,1751,4.0,1361404800,0
13890,5558,4.0,1360886400,1
13890,3347,5.0,1361404800,2
19238,4127,5.0,1390348800,0
19238,6295,5.0,1393459200,0
19238,6176,5.0,1401408000,0
19238,4688,5.0,1401408000,1
19238,5416,5.0,1401408000,2
17480,3025,5.0,1330041600,0
17480,4688,5.0,1328054400,0
17480,4695,5.0,1330041600,0
17480,1997,4.0,1329091200,0
17480,2671,5.0,1330041600,1
17480,5281,1.0,1328054400,2
16814,5617,5.0,1368662400,0
16814,2052,5.0,1368662400,0
16814,1796,5.0,1368662400,0
16814,4364,5.0,1368662400,1
16814,1725,5.0,1368662400,2
9357,4373,5.0,1386288000,0
9357,5524,5.0,1386288000,0
9357,1911,5.0,1386288000,0
9357,594,5.0,1386288000,1
